Survived,Pclass,Sex,Age,Siblings_spouses,Parents_children,Fare,Embarked,relatives,Deck,Title
0,3,0,22,1,0,7,0,1,8,1
1,1,1,38,1,0,71,1,1,3,3
1,3,1,26,0,0,7,0,0,8,2
1,1,1,35,1,0,53,0,1,3,3
0,3,0,35,0,0,8,0,0,8,1
0,3,0,22,0,0,8,2,0,8,1
0,1,0,54,0,0,51,0,0,5,1
0,3,0,2,3,1,21,0,4,8,4
1,3,1,27,0,2,11,0,2,8,3
1,2,1,14,1,0,30,1,1,8,3
1,3,1,4,1,1,16,0,2,7,2
1,1,1,58,0,0,26,0,0,3,2
0,3,0,20,0,0,8,0,0,8,1
0,3,0,39,1,5,31,0,6,8,1
0,3,1,14,0,0,7,0,0,8,2
1,2,1,55,0,0,16,0,0,8,3
0,3,0,2,4,1,29,2,5,8,4
1,2,0,16,0,0,13,0,0,8,1
0,3,1,31,1,0,18,0,1,8,3
1,3,1,38,0,0,7,1,0,8,3
0,2,0,35,0,0,26,0,0,8,1
1,2,0,34,0,0,13,0,0,4,1
1,3,1,15,0,0,8,2,0,8,2
1,1,0,28,0,0,35,0,0,1,1
0,3,1,8,3,1,21,0,4,8,2
1,3,1,38,1,5,31,0,6,8,3
0,3,0,38,0,0,7,1,0,8,1
0,1,0,19,3,2,263,0,5,3,1
1,3,1,29,0,0,7,2,0,8,2
0,3,0,33,0,0,7,0,0,8,1
0,1,0,40,0,0,27,1,0,8,5
1,1,1,16,1,0,146,1,1,2,3
1,3,1,29,0,0,7,2,0,8,2
0,2,0,66,0,0,10,0,0,8,1
0,1,0,28,1,0,82,1,1,8,1
0,1,0,42,1,0,52,0,1,8,1
1,3,0,41,0,0,7,1,0,8,1
0,3,0,21,0,0,8,0,0,8,1
0,3,1,18,2,0,18,0,2,8,2
1,3,1,14,1,0,11,1,1,8,2
0,3,1,40,1,0,9,0,1,8,3
0,2,1,27,1,0,21,0,1,8,3
0,3,0,38,0,0,7,1,0,8,1
1,2,1,3,1,2,41,1,3,8,2
1,3,1,19,0,0,7,2,0,8,2
0,3,0,28,0,0,8,0,0,8,1
0,3,0,31,1,0,15,2,1,8,1
1,3,1,27,0,0,7,2,0,8,2
0,3,0,41,2,0,21,1,2,8,1
0,3,1,18,1,0,17,0,1,8,3
0,3,0,7,4,1,39,0,5,8,4
0,3,0,21,0,0,7,0,0,8,1
1,1,1,49,1,0,76,1,1,4,3
1,2,1,29,1,0,26,0,1,8,3
0,1,0,65,0,1,61,1,1,2,1
1,1,0,25,0,0,35,0,0,3,1
1,2,1,21,0,0,10,0,0,8,2
0,3,0,28,0,0,7,1,0,8,1
1,2,1,5,1,2,27,0,3,8,2
0,3,0,11,5,2,46,0,7,8,4
0,3,0,22,0,0,7,1,0,8,1
1,1,1,38,0,0,80,0,0,2,2
0,1,0,45,1,0,83,0,1,3,1
0,3,0,4,3,2,27,0,5,8,4
0,1,0,42,0,0,27,1,0,8,1
1,3,0,42,1,1,15,1,2,8,4
1,2,1,29,0,0,10,0,0,6,3
0,3,0,19,0,0,8,0,0,8,1
1,3,1,17,4,2,7,0,6,8,2
0,3,0,26,2,0,8,0,2,8,1
0,2,0,32,0,0,10,0,0,8,1
0,3,1,16,5,2,46,0,7,8,2
0,2,0,21,0,0,73,0,0,8,1
0,3,0,26,1,0,14,1,1,8,1
1,3,0,32,0,0,56,0,0,8,1
0,3,0,25,0,0,7,0,0,6,1
0,3,0,36,0,0,7,0,0,8,1
0,3,0,29,0,0,8,0,0,8,1
1,2,0,0,0,2,29,0,2,8,4
1,3,1,30,0,0,12,0,0,8,2
0,3,0,22,0,0,9,0,0,8,1
1,3,0,29,0,0,9,0,0,8,1
1,3,1,34,0,0,7,2,0,8,2
0,1,0,28,0,0,47,0,0,8,1
1,2,1,17,0,0,10,0,0,8,2
1,3,1,33,3,0,15,0,3,8,3
0,3,0,16,1,3,34,0,4,8,1
0,3,0,23,0,0,8,0,0,8,1
1,1,1,23,3,2,263,0,5,3,2
0,3,0,24,0,0,8,0,0,8,1
0,3,0,29,0,0,8,0,0,8,1
0,3,0,20,0,0,7,0,0,8,1
0,1,0,46,1,0,61,0,1,5,1
0,3,0,26,1,2,20,0,3,8,1
0,3,0,59,0,0,7,0,0,8,1
0,3,0,21,0,0,8,0,0,8,1
0,1,0,71,0,0,34,1,0,1,1
1,1,0,23,0,1,63,1,1,4,1
1,2,1,34,0,1,23,0,1,8,3
0,2,0,34,1,0,26,0,1,8,1
0,3,1,28,0,0,7,0,0,8,2
0,3,0,17,0,0,7,0,0,8,1
0,1,0,21,0,1,77,0,1,4,1
0,3,0,33,0,0,8,0,0,8,1
0,3,0,37,2,0,7,0,2,8,1
0,3,0,28,0,0,7,0,0,8,1
1,3,1,21,0,0,7,0,0,8,2
1,3,0,26,0,0,7,0,0,8,1
0,3,0,38,0,0,7,0,0,8,1
1,3,1,15,1,0,24,2,1,8,2
0,1,0,47,0,0,52,0,0,3,1
0,3,1,14,1,0,14,1,1,8,2
0,3,0,22,0,0,8,0,0,8,1
0,3,1,20,1,0,9,0,1,8,2
0,3,1,17,0,0,14,1,0,8,2
0,3,0,21,0,0,7,0,0,8,1
0,3,0,70,0,0,7,2,0,8,1
0,2,0,29,1,0,21,0,1,8,1
0,1,0,24,0,1,247,1,1,2,1
0,3,1,2,4,2,31,0,6,8,2
0,2,0,21,2,0,73,0,2,8,1
0,3,0,36,0,0,8,0,0,8,1
0,2,0,32,1,0,30,1,1,8,1
1,2,1,32,0,0,13,0,0,5,2
0,1,0,54,0,1,77,0,1,4,1
1,3,0,12,1,0,11,1,1,8,4
0,3,0,40,0,0,7,2,0,8,1
1,3,0,24,0,0,7,0,0,8,1
1,3,1,23,1,1,22,1,2,6,2
0,3,0,45,0,0,6,0,0,8,1
0,3,0,33,0,0,7,1,0,8,1
0,3,0,20,0,0,7,0,0,8,1
0,3,1,47,1,0,14,0,1,8,3
1,2,1,29,1,0,26,0,1,8,3
0,2,0,25,0,0,13,0,0,8,1
0,2,0,23,0,0,15,1,0,8,1
1,1,1,19,0,2,26,0,2,4,2
0,1,0,37,1,0,53,0,1,3,1
0,3,0,16,0,0,9,0,0,8,1
0,1,0,24,0,0,79,1,0,2,1
0,3,1,23,0,2,15,1,2,8,3
1,3,1,22,0,0,7,0,0,8,2
1,3,1,24,1,0,15,0,1,8,3
0,3,0,19,0,0,6,2,0,8,1
0,2,0,18,0,0,11,0,0,8,1
0,2,0,19,1,1,36,0,2,8,1
1,3,0,27,0,0,7,0,0,8,1
0,3,1,9,2,2,34,0,4,8,2
0,2,0,36,0,2,26,0,2,6,1
0,2,0,42,0,0,13,0,0,8,5
0,2,0,51,0,0,12,0,0,8,5
1,1,1,22,1,0,66,0,1,3,3
0,3,0,55,0,0,8,0,0,8,1
0,3,0,40,0,2,14,0,2,8,1
0,3,0,26,0,0,7,0,0,8,1
0,1,0,51,0,1,61,1,1,8,1
1,3,1,16,0,0,7,2,0,8,2
0,3,0,30,0,0,8,0,0,8,1
0,3,0,28,0,0,8,0,0,8,1
0,3,0,33,8,2,69,0,10,8,4
0,3,0,44,0,1,16,0,1,8,1
1,2,1,40,0,0,15,0,0,8,3
0,3,0,26,0,0,7,0,0,8,1
0,3,0,17,0,0,8,0,0,8,1
0,3,0,1,4,1,39,0,5,8,4
1,3,0,9,0,2,20,0,2,8,4
1,1,1,37,0,1,55,0,1,5,3
0,3,1,45,1,4,27,0,5,8,3
0,1,0,31,0,0,25,0,0,8,1
0,3,0,28,0,0,56,0,0,8,1
0,1,0,61,0,0,33,0,0,2,1
0,3,0,4,4,1,29,2,5,8,4
1,3,1,1,1,1,11,0,2,8,2
0,3,0,21,0,0,7,0,0,8,1
0,1,0,56,0,0,30,1,0,1,1
0,3,0,18,1,1,7,0,2,8,1
0,3,0,35,3,1,25,0,4,8,4
0,1,1,50,0,0,28,1,0,3,2
0,2,0,30,0,0,13,0,0,8,1
0,3,0,36,0,0,0,0,0,8,1
0,3,1,18,8,2,69,0,10,8,2
0,2,0,36,0,0,15,1,0,8,1
0,3,0,9,4,2,31,0,6,8,4
1,2,0,1,2,1,39,0,3,6,4
1,3,1,4,0,2,22,0,2,8,2
0,1,0,23,0,0,50,0,0,1,1
1,3,1,43,1,0,15,2,1,8,3
1,1,0,45,0,0,26,0,0,8,1
0,3,0,40,1,1,15,2,2,8,1
0,3,0,36,0,0,7,0,0,8,1
1,2,1,32,0,0,13,0,0,8,3
0,2,0,19,0,0,13,0,0,8,1
1,3,1,19,1,0,7,0,1,8,2
1,2,0,3,1,1,26,0,2,6,4
1,1,1,44,0,0,27,1,0,2,3
1,1,1,58,0,0,146,1,0,2,2
0,3,0,22,0,0,7,2,0,8,1
0,3,0,42,0,1,8,0,1,8,1
1,3,1,39,0,0,7,2,0,8,2
0,2,1,24,0,0,13,0,0,8,2
0,3,0,28,0,0,9,0,0,8,1
0,3,0,17,8,2,69,0,10,8,1
0,3,0,34,0,0,6,0,0,8,1
0,3,0,45,0,0,7,1,0,8,1
1,3,0,18,0,0,8,0,0,8,1
0,3,1,2,0,1,10,0,1,7,2
0,3,0,32,1,0,15,0,1,8,1
1,3,0,26,0,0,18,1,0,8,1
1,3,1,16,0,0,7,2,0,8,2
1,1,0,40,0,0,31,1,0,1,1
0,3,0,24,0,0,7,0,0,8,1
1,2,1,35,0,0,21,0,0,8,2
0,3,0,22,0,0,7,0,0,8,1
0,2,0,30,0,0,13,0,0,8,1
0,3,0,35,1,0,7,2,1,8,1
1,1,1,31,1,0,113,1,1,4,2
1,3,1,27,0,0,7,0,0,8,2
0,2,0,42,1,0,27,0,1,8,1
1,1,1,32,0,0,76,1,0,4,2
0,2,0,30,0,0,10,0,0,8,1
1,3,0,16,0,0,8,0,0,8,1
0,2,0,27,0,0,13,0,0,8,1
0,3,0,51,0,0,8,0,0,8,1
0,3,0,24,0,0,7,0,0,8,1
1,1,0,38,1,0,90,0,1,3,1
0,3,0,22,0,0,9,0,0,8,1
1,2,0,19,0,0,10,0,0,8,1
0,3,0,20,0,0,7,0,0,8,1
0,2,0,18,0,0,13,0,0,8,1
0,3,1,40,3,1,25,0,4,8,2
1,1,1,35,1,0,83,0,1,3,3
0,3,0,29,0,0,7,0,0,8,1
0,2,0,59,0,0,13,0,0,8,1
1,3,1,5,4,2,31,0,6,8,2
