PassengerId,Pclass,Sex,Age,Siblings,Fare,Embarked,relatives,Deck,Title,Age_Class
0,3,Male,22,1,7,Southampton,1,H,Mr,66
1,1,Female,38,1,71,Cherbourg,1,C,Mrs,38
1,3,Female,26,0,7,Southampton,0,H,Miss,78
1,1,Female,35,1,53,Southampton,1,C,Mrs,35
0,3,Male,35,0,8,Southampton,0,H,Mr,105
0,3,Male,30,0,8,Queenstown,0,H,Mr,90
0,1,Male,54,0,51,Southampton,0,E,Mr,54
0,3,Male,2,3,21,Southampton,4,H,Master,6
1,3,Female,27,0,11,Southampton,2,H,Mrs,81
1,2,Female,14,1,30,Cherbourg,1,H,Mrs,28
1,3,Female,4,1,16,Southampton,2,G,Miss,12
1,1,Female,58,0,26,Southampton,0,C,Miss,58
0,3,Male,20,0,8,Southampton,0,H,Mr,60
0,3,Male,39,1,31,Southampton,6,H,Mr,117
0,3,Female,14,0,7,Southampton,0,H,Miss,42
1,2,Female,55,0,16,Southampton,0,H,Mrs,110
0,3,Male,2,4,29,Queenstown,5,H,Master,6
1,2,Male,28,0,13,Southampton,0,H,Mr,56
0,3,Female,31,1,18,Southampton,1,H,Mrs,93
1,3,Female,27,0,7,Cherbourg,0,H,Mrs,81
0,2,Male,35,0,26,Southampton,0,H,Mr,70
1,2,Male,34,0,13,Southampton,0,D,Mr,68
1,3,Female,15,0,8,Queenstown,0,H,Miss,45
1,1,Male,28,0,35,Southampton,0,A,Mr,28
0,3,Female,8,3,21,Southampton,4,H,Miss,24
1,3,Female,38,1,31,Southampton,6,H,Mrs,114
0,3,Male,32,0,7,Cherbourg,0,H,Mr,96
0,1,Male,19,3,263,Southampton,5,C,Mr,19
1,3,Female,36,0,7,Queenstown,0,H,Miss,108
0,3,Male,35,0,7,Southampton,0,H,Mr,105
0,1,Male,40,0,27,Cherbourg,0,H,Rare,40
1,1,Female,24,1,146,Cherbourg,1,B,Mrs,24
1,3,Female,41,0,7,Queenstown,0,H,Miss,123
0,2,Male,66,0,10,Southampton,0,H,Mr,132
0,1,Male,28,1,82,Cherbourg,1,H,Mr,28
0,1,Male,42,1,52,Southampton,1,H,Mr,42
1,3,Male,40,0,7,Cherbourg,0,H,Mr,120
0,3,Male,21,0,8,Southampton,0,H,Mr,63
0,3,Female,18,2,18,Southampton,2,H,Miss,54
1,3,Female,14,1,11,Cherbourg,1,H,Miss,42
0,3,Female,40,1,9,Southampton,1,H,Mrs,120
0,2,Female,27,1,21,Southampton,1,H,Mrs,54
0,3,Male,16,0,7,Cherbourg,0,H,Mr,48
1,2,Female,3,1,41,Cherbourg,3,H,Miss,6
1,3,Female,19,0,7,Queenstown,0,H,Miss,57
0,3,Male,22,0,8,Southampton,0,H,Mr,66
0,3,Male,19,1,15,Queenstown,1,H,Mr,57
1,3,Female,17,0,7,Queenstown,0,H,Miss,51
0,3,Male,42,2,21,Cherbourg,2,H,Mr,126
0,3,Female,18,1,17,Southampton,1,H,Mrs,54
0,3,Male,7,4,39,Southampton,5,H,Master,21
0,3,Male,21,0,7,Southampton,0,H,Mr,63
1,1,Female,49,1,76,Cherbourg,1,D,Mrs,49
1,2,Female,29,1,26,Southampton,1,H,Mrs,58
0,1,Male,65,0,61,Cherbourg,1,B,Mr,65
1,1,Male,20,0,35,Southampton,0,C,Mr,20
1,2,Female,21,0,10,Southampton,0,H,Miss,42
0,3,Male,28,0,7,Cherbourg,0,H,Mr,84
1,2,Female,5,1,27,Southampton,3,H,Miss,10
0,3,Male,11,5,46,Southampton,7,H,Master,33
0,3,Male,22,0,7,Cherbourg,0,H,Mr,66
1,1,Female,38,0,80,Southampton,0,B,Miss,38
0,1,Male,45,1,83,Southampton,1,C,Mr,45
0,3,Male,4,3,27,Southampton,5,H,Master,12
0,1,Male,26,0,27,Cherbourg,0,H,Mr,26
1,3,Male,35,1,15,Cherbourg,2,H,Master,105
1,2,Female,29,0,10,Southampton,0,F,Mrs,58
0,3,Male,19,0,8,Southampton,0,H,Mr,57
1,3,Female,17,4,7,Southampton,6,H,Miss,51
0,3,Male,26,2,8,Southampton,2,H,Mr,78
0,2,Male,32,0,10,Southampton,0,H,Mr,64
0,3,Female,16,5,46,Southampton,7,H,Miss,48
0,2,Male,21,0,73,Southampton,0,H,Mr,42
0,3,Male,26,1,14,Cherbourg,1,H,Mr,78
1,3,Male,32,0,56,Southampton,0,H,Mr,96
0,3,Male,25,0,7,Southampton,0,F,Mr,75
0,3,Male,24,0,7,Southampton,0,H,Mr,72
0,3,Male,19,0,8,Southampton,0,H,Mr,57
1,2,Male,0,0,29,Southampton,2,H,Master,0
1,3,Female,30,0,12,Southampton,0,H,Miss,90
0,3,Male,22,0,9,Southampton,0,H,Mr,66
1,3,Male,29,0,9,Southampton,0,H,Mr,87
1,3,Female,18,0,7,Queenstown,0,H,Miss,54
0,1,Male,28,0,47,Southampton,0,H,Mr,28
1,2,Female,17,0,10,Southampton,0,H,Miss,34
1,3,Female,33,3,15,Southampton,3,H,Mrs,99
0,3,Male,16,1,34,Southampton,4,H,Mr,48
0,3,Male,41,0,8,Southampton,0,H,Mr,123
1,1,Female,23,3,263,Southampton,5,C,Miss,23
0,3,Male,24,0,8,Southampton,0,H,Mr,72
0,3,Male,29,0,8,Southampton,0,H,Mr,87
0,3,Male,20,0,7,Southampton,0,H,Mr,60
0,1,Male,46,1,61,Southampton,1,E,Mr,46
